phase_cycle1,phase_cycle2,phase_cycle3,phase_cycle4,phase_cycle5,phase_cycle6,phase_cycle7,phase_cycle8,phase_cycle9,phase_cycle10,phase_cycle11
180.0,143.13010235415598,-158.19859051364818,26.56505117707799,39.8055710922652,45.0,45.0,135.0,,-126.86989764584402,
-90.0,-153.434948822922,0.0,135.0,-140.19442890773482,-161.565051177078,-161.565051177078,18.43494882292201,,119.74488129694222,
-135.0,110.55604521958348,-105.94539590092286,0.0,12.528807709151511,-53.13010235415598,-53.13010235415598,135.0,,-90.0,
-153.434948822922,-45.0,180.0,149.03624346792648,-108.43494882292202,153.434948822922,153.434948822922,45.0,,-153.434948822922,
-153.434948822922,128.6598082540901,-45.0,126.86989764584402,9.462322208025617,-33.690067525979785,-33.690067525979785,116.56505117707799,,153.434948822922,
-104.03624346792648,-14.036243467926479,-123.6900675259798,-90.0,-108.43494882292202,135.0,135.0,161.565051177078,,-90.0,
116.56505117707799,149.03624346792648,180.0,90.0,-14.036243467926479,-56.309932474020215,-56.309932474020215,146.30993247402023,,-149.03624346792648,
-101.30993247402021,116.56505117707799,-135.0,116.56505117707799,26.56505117707799,90.0,90.0,180.0,,-116.56505117707799,
45.0,-161.565051177078,-153.434948822922,180.0,-18.43494882292201,0.0,0.0,45.0,,90.0,
-116.56505117707799,90.0,-90.0,116.56505117707799,-45.0,-9.462322208025617,-9.462322208025617,168.6900675259798,,-120.96375653207352,
-26.56505117707799,-135.0,-90.0,-168.6900675259798,0.0,45.0,45.0,63.43494882292201,,63.43494882292201,
-90.0,126.86989764584402,-135.0,45.0,45.0,-45.0,-45.0,-108.43494882292202,,-111.80140948635183,
-63.43494882292201,45.0,-9.462322208025617,153.434948822922,14.036243467926479,0.0,0.0,108.43494882292202,,80.53767779197439,
-153.434948822922,164.05460409907712,-135.0,-90.0,180.0,-26.56505117707799,-26.56505117707799,-135.0,,-90.0,
-26.56505117707799,-63.43494882292201,21.80140948635181,116.56505117707799,26.56505117707799,0.0,0.0,-165.96375653207352,,90.0,
-53.13010235415598,90.0,-123.6900675259798,-80.53767779197439,26.56505117707799,90.0,90.0,116.56505117707799,,-56.309932474020215,
180.0,-153.434948822922,0.0,149.03624346792648,90.0,11.309932474020215,11.309932474020215,-153.434948822922,,-108.43494882292202,
-26.56505117707799,45.0,-45.0,-71.56505117707799,116.56505117707799,-153.434948822922,-153.434948822922,-135.0,,-33.690067525979785,
-116.56505117707799,-153.434948822922,180.0,-161.565051177078,26.56505117707799,45.0,45.0,135.0,,180.0,
