phase_cycle1,phase_cycle2,phase_cycle3,phase_cycle4,phase_cycle5,phase_cycle6
168.57881372500074,79.88463867593283,-131.18592516570965,-43.53119928561418,171.14799590061057,92.4775988684457
171.54108759982944,81.90791740105537,-132.35745470593528,-44.35625428582462,173.10257244224826,91.0912162252626
171.40091128922253,82.7079410354173,-128.77417093557423,-41.268603000839555,172.8749836510982,95.34708160029938
172.73111507835247,83.48757697071215,-129.8978347476418,-38.15722658736906,174.8521151758637,94.83440630626328
174.04754056203245,86.72951207681645,-126.3843518158359,-40.19204603696953,180.0,96.46407431937686
175.47117576306746,85.84035770628736,-124.85445556610367,-34.47221388003645,175.76360520094119,98.50187941148145
177.32457334397085,88.36342295838328,-123.20657031508954,-35.53767779197438,-176.98721249581666,99.97512672045865
178.3555967353049,89.45948981286934,-122.79953127261923,-34.93931020467703,178.88760038370222,101.59959522111636
-177.6029714699404,91.83914082340839,-121.79891282429443,-32.66091272167381,-172.3210361926313,102.23959983693186
-177.56909166295958,91.35746584453062,-115.97439396243132,-31.7594800848128,179.37040139158972,105.4122365345814
-174.7341596882209,96.19183428484206,-119.74488129694222,-27.81041544384634,-169.24903300681197,104.41219463086705
-173.00807465333222,95.21926452798823,-115.76932762433871,-27.28420729362307,-175.71084667118097,110.08818807214767
-171.5344024460184,98.1684786240455,-117.89727103094764,-26.33768816608743,-175.71084667118097,108.6345848774464
-170.27978405193915,98.91492695714787,-114.62356478616361,-22.61986494804043,-167.47119229084848,112.15544687233508
-167.8686789333675,100.5518095061923,-115.64100582430528,-22.328656378019147,-170.98067756861832,111.30265577748288
-167.3261399943769,102.61932229343078,-106.38954033403479,-20.714174844348715,-168.19756579221647,116.13641244437586
-166.27480548231708,104.93141717813755,-120.96375653207352,-17.168172435181994,-164.05460409907712,113.29011724012877
-164.09116808869754,105.79240352885729,-123.6900675259798,-19.79887635452493,-164.05460409907712,119.32047587758076
-163.34989450139696,108.6215793664876,-116.56505117707799,-10.980650010173544,-162.34987578006988,115.76932762433871
-162.3266931879653,108.25477400955381,161.565051177078,-17.01254680924403,-162.89727103094762,122.41703750592308
-158.68208772453846,112.46058400149667,108.43494882292202,-9.074758021008682,-159.67686317033704,119.7919608093647
-158.14846298530665,111.5839692417696,84.8055710922652,-12.231500921230175,-158.68208772453846,125.70669140060288
-155.26049113025186,115.46334506187162,90.0,-8.130102354155978,-156.03751102542182,123.801973203046
-155.55604521958347,114.83739600921396,96.70983680775694,-6.299353706130485,-162.07208023799276,130.0062560141766
-151.02029230207123,119.30507585658002,91.6846843178963,-6.064922445447955,-138.81407483429035,126.45471810469915
-153.434948822922,118.19774296885238,87.61405596961119,-4.1849161251184155,-165.37912601136836,135.0
-149.08256179212353,123.78115771873117,93.81407483429037,-0.6902771978650786,-116.56505117707799,127.38528805796898
-149.64525171209888,120.80144597613685,96.9112271190247,-2.6630007660671433,127.87498365109822,137.81555668421123
-147.21571913413086,127.54792255659532,94.48460600954463,2.632434868986484,-97.12501634890181,131.71075732150817
-146.77637356291282,124.23746277685756,94.57392125990087,1.6090089060473987,65.22485943116808,139.3987053549955
-143.89254870824814,131.25235502523395,100.73889710090545,4.472130064284408,-45.0,136.7569883099082
-142.43140797117252,126.45721009232429,96.00900595749452,5.278646063418902,54.16234704572171,141.81435288940975
-142.12501634890182,133.97696981133217,98.68635458123667,7.241866858916207,31.607502246248906,139.63546342690265
-138.73139699916047,130.27986306895644,105.94539590092286,9.462322208025617,51.00900595749453,146.00354085174953
-137.66776628044633,135.8069294551024,102.144278049567,9.865806943084367,46.63657704161672,143.47114463301483
-137.58302066863507,135.0,104.58891873287465,13.6097318958122,49.84400037508068,148.39249775375112
-133.76359239714387,138.50353164478446,108.01976928177716,12.752119750207621,48.50353164478446,147.3807569288072
-133.87669728592456,137.24574256589509,107.5602720518007,15.984801520234573,51.91122711902468,151.01117747880846
-131.6854141793565,141.79594401601895,107.89613292503925,17.16594605944917,51.70983680775693,151.88679112394405
-131.50536107274667,140.36563092663985,111.92177859395915,16.891695744674493,55.43747535111818,152.7648533006975
-127.54792255659532,143.65254179111471,110.37643521383639,21.17808924196128,57.38075692880717,154.88516511385544
-129.76441033820157,144.24611274556327,113.42869280874541,20.127488693007976,56.309932474020215,158.52320902045963
-125.38027220030115,147.4582464400049,114.36245301531218,23.487595777653613,-1.0,158.3691131634821
-125.61848983925177,149.3813945910906,117.92358971513839,23.708844780273775,59.743562836470744,159.3255752391261
-123.49518467374119,149.4593951503185,116.13100054493859,26.200114841347343,61.011177478808456,164.9315118405078
-122.88737707401499,155.60056407582485,121.51693997259474,26.203948104171165,64.05770451012833,161.96571443287013
-119.27525427725259,152.21607358779073,120.65066795705286,28.544247315417184,63.73336164291689,172.40535663140858
-120.7704081787866,159.04422326936782,121.03826335550282,30.37121987377356,68.3109350353842,161.07535558394875
-116.56505117707799,154.79887635452494,125.13419305691563,32.78428086586914,66.72105080199731,174.64417495714483
-116.91124502753897,163.64418289898276,124.8244891569568,33.31705339818183,70.68364718049585,175.91438322002512
-114.26678843253319,156.80140948635182,126.3843518158359,36.18280407744242,72.23514669930253,169.9920201985587
-114.26678843253319,164.14807184571305,129.20720350496785,36.7068171198818,71.04576830048882,-177.13759477388825
-112.05643352703936,165.06858282186246,130.14690361300762,38.171850318422905,75.37912601136834,-170.53767779197437
-111.54097591853845,160.55996517182382,132.32457334397085,40.74934542534881,74.74488129694222,-173.6598082540901
-107.98142969696404,170.13419305691565,135.25464623227288,40.45624234853285,77.31961650818018,153.434948822922
-107.65012421993013,166.8659776936037,133.492564241225,44.25107821717617,78.69006752597979,-45.0
-105.94539590092286,167.96940390346214,139.74293486852937,44.236101539070006,78.60467894610716,33.690067525979785
-104.93141717813755,175.6012946450045,140.02146104220185,46.314754291382705,83.2409188730295,-19.44003482817619
-102.52880770915152,166.5042667192042,138.53229458389092,47.489552921999156,83.38653951768524,3.576334374997351
-102.82878287145543,-177.3974377975002,144.54038180484264,49.42820884338326,84.3296426561061,4.969740728110304
-100.12467165539782,171.46923439005187,142.236922025968,50.652503485710284,87.66269414087618,0.0
-98.40337109056082,178.36342295838327,147.28395544110717,53.89254870824813,86.52008249573029,12.724355685422369
-98.63713141507077,-165.06858282186246,145.79454206189527,53.29714496983687,89.27015693597589,2.862405226111748
-96.66665989090139,155.55604521958347,148.7736615321707,56.08256946302965,94.05934636479927,11.59217541029107
-90.86805144974555,-160.01689347810003,149.50374172003347,57.9354575155593,90.35367315924647,10.407711312490058
-95.96448710125313,180.0,150.36608521282338,58.50350009374987,95.19442890773482,10.407711312490058
-86.98721249581666,174.28940686250036,151.84011871533937,61.56726998348784,94.9090621386555,14.743562836470735
-92.12109639666147,-135.0,154.21267181718565,61.08700653573769,97.16530873291592,13.134022306396323
-85.60129464500447,135.0,155.65258393111358,65.34410125591839,99.23829293129312,17.87869659584134
-91.36392753160293,-5.710593137499643,157.46674992099574,63.7020600789788,100.24786411111029,19.44003482817619
-84.55966796899449,14.036243467926479,160.3847979647542,69.23723608803684,101.93815049450485,19.119726329931158
-88.45184230102204,6.340191745909909,160.3461759419467,68.25410966246656,102.76321344786977,21.522600107907078
-83.418055344822,13.392497753751098,162.71257897164946,69.99030611132481,104.79108489871119,24.28582515565129
-87.7974018382342,7.125016348901798,164.62374875117382,71.75731817187658,106.90231703256406,22.27589784825897
-83.99099404250548,13.570434385161485,165.2283785078325,73.70120361846269,108.5293404665432,28.217355854729302
-85.23635830927383,18.924644416051237,167.8490889590858,75.20891510128882,109.37413976865761,29.001699423888123
-114.44395478041655,8.972626614896393,167.98274815743554,78.11134196037203,111.80140948635183,30.379126011368342
-66.80140948635182,26.56505117707799,171.5344024460184,78.75451719453713,113.96248897457819,29.357753542791276
171.86989764584402,17.7004277886672,170.81116392264124,80.0905003001236,114.34741606888643,35.65532809790031
116.56505117707799,26.095424157388344,174.75818005302045,81.3843518158359,118.1873737645758,34.78913230892208
126.86989764584402,21.80140948635181,174.50767544287257,84.04589256883499,117.58580338469133,33.81824578980333
129.8055710922652,29.538782259558097,177.63592041408052,83.09967183072271,120.57922687248902,40.7515454706387
121.42956561483854,28.88658176691071,178.65527561129767,87.0262689175199,121.10476308787167,39.351752626264734
123.11134196037203,27.89727103094763,-178.6739456232951,86.30861401354873,122.15229514128235,41.98721249581666
125.53767779197437,36.591088267399286,-178.40146290732403,90.3951370425075,125.15098548888297,42.58897025338877
124.15969454566944,28.20162821869471,-175.7041594887285,91.16124190831401,125.84974322198512,46.68468431789629
122.57405713457253,36.384351815835885,-174.66076319626242,92.12109639666147,126.53710886440908,45.28505127758383
128.6598082540901,36.49129668372969,-173.89390615271574,93.65222278030635,130.45624234853284,49.899092453787766
131.82016988013575,36.75367918553147,-171.8315213759545,94.83658344573531,128.74596725608353,48.20948631779199
124.56252464888182,40.60129464500447,-170.58171758308086,98.13010235415598,133.65887222028283,53.630801788548446
136.33221985386965,41.98721249581666,-169.3302171955033,94.57392125990087,133.65887222028283,51.927218126009166
127.23483398157467,40.14339606605682,-168.15360586678057,101.30993247402021,135.19291435353304,55.283570651135285
137.33730585912383,46.73570458892839,-164.91136918726374,100.71312302279104,137.0655099193032,56.1173423438472
134.44374777291932,44.30972280213492,-164.32522992499042,101.70643672915334,137.91083782616775,57.402883121765235
140.76263288659848,49.54804240912542,-162.42014857334473,102.99461679191651,140.8035754958481,59.03624346792648
136.97493401088198,47.489552921999156,-161.12090674396606,107.02052561151987,142.8533133019782,60.57254359681026
141.95295746817393,51.27107744950115,-157.31558857587078,106.02586744844976,142.91750303482834,62.396020069380874
143.3929251873925,52.96378706071878,-158.30489053920311,110.3441012559184,147.76111516253002,64.76716867679164
