phase_cycle1,phase_cycle2,phase_cycle3
135.0,71.56505117707799,71.56505117707799
-20.556045219583464,18.43494882292201,18.43494882292201
-168.6900675259798,108.43494882292202,108.43494882292202
38.659808254090095,99.46232220802563,99.46232220802563
-143.13010235415598,0.0,0.0
63.43494882292201,33.690067525979785,33.690067525979785
135.0,135.0,135.0
-56.309932474020215,63.43494882292201,63.43494882292201
98.13010235415598,146.30993247402023,146.30993247402023
-56.309932474020215,0.0,0.0
135.0,123.6900675259798,123.6900675259798
68.19859051364818,-26.56505117707799,-26.56505117707799
180.0,-143.13010235415598,-143.13010235415598
26.56505117707799,90.0,90.0
153.434948822922,-108.43494882292202,-108.43494882292202
0.0,90.0,90.0
71.56505117707799,-153.434948822922,-153.434948822922
161.565051177078,0.0,0.0
71.56505117707799,180.0,180.0
153.434948822922,135.0,135.0
-153.434948822922,-111.80140948635183,-111.80140948635183
135.0,90.0,90.0
135.0,-135.0,-135.0
-90.0,-135.0,-135.0
165.96375653207352,-161.565051177078,-161.565051177078
-116.56505117707799,-63.43494882292201,-63.43494882292201
180.0,-123.6900675259798,-123.6900675259798
-116.56505117707799,-108.43494882292202,-108.43494882292202
180.0,0.0,0.0
0.0,180.0,180.0
153.434948822922,-71.56505117707799,-71.56505117707799
-83.6598082540901,90.0,90.0
120.96375653207352,-90.0,-90.0
-75.96375653207353,56.309932474020215,56.309932474020215
135.0,-126.86989764584402,-126.86989764584402
-135.0,0.0,0.0
-116.56505117707799,-90.0,-90.0
-153.434948822922,63.43494882292201,63.43494882292201
-14.036243467926479,-33.690067525979785,-33.690067525979785
-153.434948822922,-45.0,-45.0
-30.96375653207352,-90.0,-90.0
-90.0,0.0,0.0
180.0,180.0,180.0
-36.86989764584402,21.80140948635181,21.80140948635181
-90.0,-45.0,-45.0
-90.0,-33.690067525979785,-33.690067525979785
-68.19859051364818,29.74488129694222,29.74488129694222
-18.43494882292201,-135.0,-135.0
180.0,45.0,45.0
-9.462322208025617,0.0,0.0
